Year,wlfdens,prvwfden,moose,calf:cow,ca:total,
1983,50,47,5148, ,,
1984,35,50,4112, ,,
1985,54,35,4451,0.425,0.189647479, 
1986,47,54,4918,0.578,0.216155572,
1987,48,47,5994,0.752,0.270212001,
1988,59,48,5492,0.621,0.247410359,
1989,79,59,6938,0.613,0.241528763,
1990,51,79,4492,0.377,0.153564155,
1991,56,51,3572,0.293,0.124893436,
1992,53,56,4362,0.427,0.175937371,
1993,55,53,4292,0.506,0.193721286,
1994,55,55,6768,0.538,0.195992714,
1995,55,55,5193,0.588,0.210300429,
1996,69,55,8854,0.857,0.222193415,
1997,56,69,3960,0.488,0.159633628,
1998,55,56,3464,0.714,0.265131823,
1999,50,55,3915,0.574,0.197931034,
2000,44,50,3733,0.696,0.229627186,
2001,52,44,3879,0.61,0.229323308,
2002,53,52,5214,0.93,0.295238095,
2003,58,53,4161,0.7,0.188679245,
2004,62,58,,0.415,0.1565447,
2005,74,62,8158,0.517,0.201402415,
2006,81,74,8840,0.337,0.138854553,
2007,81,81,6860,0.288,0.132292145,
2008,84,81,7887,0.356,0.167371885,
2009,97,84,7835,0.321,0.142098274,
2010,91,97,5699,0.276,0.131178707,
2011,74,91,4896,0.242,0.127974617,
2012,62,74,4226,0.364,0.148997135,
2013,44,62,2757,0.33,0.129158513,
2014,52,44,4351,0.443,0.165360209,
2015,39,52,3446,0.294,0.128608924,
2016,,39,4023,0.42,0.171288744,
2017,,,3708,0.362,0.159611993,
